,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Galle Face Green,95.86,226.87,138.65,108.12,225.07,41.81,289.64,126.56,139.1,145.47,294.04,10.69,75.99,168.26,78.58,74.21,183.4,416.62,125.4,170.91,2.04,3.21,224.8,179.99,10.85,177.73,114.54,175.26,10.93,183.46,178.12,142.72,390.22,159.53,176.31,113.78,316.85,243.11,227.61,142.72,0.0,0.75,143.02,136.15,2.16,106.35,191.59,136.31,142.16,153.74,32.95,121.82,189.13,140.63,190.64,214.03,4.56,221.62,402.48,402.49,2.26,145.25,223.36,164.31,157.64,201.04,52.39,73.45,128.1,127.81,314.29,231.32,240.73,424.42,11.49,227.35,241.06,159.06,152.94,87.51,269.13,95.73,171.96,177.78,222.57,137.34,208.5,99.69,206.29,85.92,221.65,306.19,175.2,231.72,216.96,169.92,140.27,219.78,13.37,175.42,29.09,394.65,159.89,404.48,46.6,42.03,416.8,325.86,177.5,0.91,290.14,138.73,1.91,202.9,135.84,96.37,161.05,175.88,225.56,183.06,226.82,177.27,51.13,130.14,213.11,120.7,224.05,225.82,217.2,153.97,140.33,2.23,118.5,301.78,201.7,133.87,122.96,246.99,260.68,99.97,159.91,117.27,4.33,3.74,224.06,128.06,318.15,318.05,195.55,218.03,163.69,146.66,317.06,134.58,2.87,123.58,196.85,178.11,163.91,192.09,177.45,225.19,3.29,247.88,147.45
Galle Face Hotel,95.64,227.45,138.39,108.12,225.36,42.51,289.37,126.65,138.76,145.13,294.1,10.16,75.24,168.07,78.18,73.46,183.03,417.33,125.46,170.18,2.04,2.58,225.37,180.37,10.1,177.48,114.32,174.91,10.42,182.74,177.93,141.97,390.86,158.99,176.03,113.83,317.24,242.99,227.91,141.97,0.75,0.0,142.27,135.94,1.62,105.97,190.92,136.09,141.92,153.01,33.36,121.07,188.44,140.3,189.96,214.43,3.92,222.2,403.18,403.19,2.82,144.5,223.94,163.57,156.9,200.41,51.64,72.7,128.18,127.89,314.7,230.85,241.11,425.11,11.53,227.64,240.53,159.2,152.2,86.76,268.77,95.46,171.64,177.5,223.15,137.14,208.05,98.94,206.38,85.41,221.32,306.58,174.47,232.26,217.32,169.19,140.04,220.35,12.62,174.77,29.75,395.36,160.2,405.17,47.32,42.75,417.48,326.28,177.22,1.66,290.3,138.52,2.25,203.28,135.65,96.58,161.25,175.15,225.85,183.44,227.12,177.0,50.38,130.45,213.57,120.78,224.63,226.4,217.49,153.22,139.58,1.68,117.75,302.11,202.07,133.65,122.33,246.53,260.98,99.63,159.57,117.05,4.77,4.22,224.35,128.14,318.55,318.45,194.9,218.6,163.2,145.91,317.45,134.37,2.35,122.86,197.09,177.4,163.18,191.4,176.72,225.87,3.73,247.49,147.97
Galle Fort Lighthouse,141.71,345.37,154.01,173.6,303.5,181.93,264.16,195.65,140.09,141.68,328.64,134.91,67.85,183.49,116.15,68.81,158.53,550.85,192.29,38.43,142.54,140.14,343.11,276.08,132.17,178.28,148.66,157.63,135.24,56.76,190.71,0.34,514.48,105.33,172.1,182.37,403.56,254.11,307.09,0.34,143.02,142.27,0.0,160.38,141.22,121.28,81.94,158.98,158.86,21.2,161.48,23.8,71.76,142.85,76.12,309.08,138.91,339.98,534.82,534.77,144.45,2.99,341.53,29.89,20.66,105.16,90.81,70.03,195.78,195.79,404.94,171.41,331.59,556.73,142.95,306.64,165.13,225.69,16.75,56.6,228.21,134.77,160.63,174.24,340.93,162.32,158.37,45.11,257.94,99.11,194.9,392.62,47.45,345.18,306.42,37.35,160.65,336.96,129.86,76.83,168.23,530.64,249.35,536.45,187.08,183.09,547.78,417.22,175.24,143.92,341.18,162.22,143.51,295.72,164.54,188.87,236.95,46.55,304.35,277.61,305.94,174.23,91.9,225.46,315.81,190.98,342.3,344.07,296.04,16.25,2.77,141.13,26.92,379.8,294.32,158.27,69.01,187.24,337.35,125.73,151.04,148.39,145.1,145.02,302.38,196.17,406.59,406.87,92.45,336.15,120.95,4.37,405.08,159.59,140.73,37.69,271.93,53.04,31.13,73.74,43.99,357.17,144.56,204.3,263.4
Galway's Land National Park,40.3,213.66,9.46,44.21,146.75,139.3,154.36,52.72,25.48,29.15,173.43,127.09,138.77,32.4,64.25,131.24,60.24,430.45,49.24,157.3,134.12,133.87,211.42,132.11,132.66,42.69,21.65,50.31,126.52,155.64,42.26,160.08,379.5,79.3,43.16,48.04,246.33,109.56,150.54,160.08,136.15,135.94,160.38,0.0,134.44,42.08,140.41,1.78,8.33,152.23,117.03,157.05,147.58,23.61,145.15,160.34,132.96,208.67,411.28,411.11,135.0,160.14,209.84,157.12,157.83,130.69,131.54,136.4,51.51,51.79,249.08,117.59,178.71,432.37,125.22,150.04,136.99,71.14,155.65,142.56,138.95,41.55,44.0,44.08,209.52,1.94,94.38,148.17,97.55,71.51,90.67,235.54,153.45,208.02,154.53,157.02,4.76,204.63,134.4,123.85,132.76,414.98,105.1,412.17,142.4,142.44,421.37,261.32,43.36,136.34,181.68,2.63,134.58,146.84,5.2,75.19,85.69,155.54,147.7,132.21,149.31,43.47,128.65,93.61,171.95,51.99,210.63,212.2,139.85,157.54,159.3,134.41,155.6,220.75,145.46,2.51,92.1,129.64,178.83,42.4,36.11,19.12,133.27,133.86,145.65,52.07,249.88,250.27,135.4,205.0,68.47,160.66,248.25,1.58,133.77,122.69,115.88,151.57,155.11,149.96,161.31,244.33,133.94,121.06,142.23
Gangaramaya Temple,94.14,227.4,136.85,106.84,224.56,43.01,287.82,125.49,137.17,143.54,292.9,8.55,74.33,166.58,76.57,72.42,181.43,417.82,124.28,168.93,1.54,1.11,225.31,179.78,9.1,175.94,112.81,173.32,8.81,181.42,176.44,140.91,391.05,157.39,174.47,112.62,316.65,241.58,227.13,140.91,2.16,1.62,141.22,134.44,0.0,104.37,189.47,134.58,140.39,151.81,32.86,120.12,187.04,138.72,188.54,213.88,2.44,222.14,403.6,403.61,3.28,143.43,223.87,162.36,155.73,198.89,50.68,71.75,127.01,126.73,314.18,229.24,240.52,425.54,10.39,226.86,238.93,158.11,151.04,85.84,267.18,93.91,170.05,175.95,223.09,135.65,206.44,98.02,205.23,83.8,219.74,305.98,173.18,232.1,216.67,167.95,138.53,220.25,11.87,173.29,30.04,395.92,159.44,405.58,47.88,43.36,417.87,325.77,175.68,2.9,289.24,137.02,2.38,202.67,134.17,95.63,160.29,173.87,225.05,182.82,226.33,175.45,49.35,129.71,213.15,119.61,224.56,226.34,216.68,152.07,138.54,0.09,116.81,301.38,201.46,132.15,120.81,244.92,260.2,98.04,157.98,115.53,4.66,4.27,223.55,126.98,317.99,317.9,193.41,218.53,161.59,144.84,316.89,132.86,0.73,121.54,196.2,176.07,161.95,190.0,175.47,226.21,3.74,245.89,147.73
Gartmore Falls,26.27,234.95,39.05,56.22,182.35,120.68,185.55,76.28,33.64,39.63,215.5,96.16,97.04,72.03,27.9,89.5,77.06,448.78,72.71,123.92,104.44,103.59,232.67,158.75,100.5,75.78,27.39,69.16,95.73,125.94,81.38,120.96,403.7,63.87,72.74,64.48,282.44,149.51,185.98,120.96,106.35,105.97,121.28,42.08,104.37,0.0,117.47,41.13,43.84,115.83,95.9,115.87,121.68,35.64,120.45,190.3,102.45,229.69,430.76,430.64,105.72,121.38,231.07,122.24,121.45,115.18,91.76,94.77,76.08,76.16,284.14,127.0,211.49,452.3,96.73,185.52,140.22,104.59,118.67,100.5,162.9,19.62,66.5,74.51,230.61,43.96,103.55,106.14,138.09,29.8,115.85,271.52,121.9,231.96,186.51,123.45,44.02,226.09,101.54,99.64,110.92,431.34,131.4,431.96,124.84,123.52,442.09,296.42,74.59,106.75,223.19,44.43,105.1,176.76,45.18,80.59,116.59,123.75,183.22,159.74,184.81,74.11,89.02,111.69,199.09,72.42,231.86,233.55,174.97,120.5,119.93,104.32,114.24,258.54,175.36,39.65,56.03,142.0,216.07,8.73,54.18,27.18,104.38,104.87,181.23,76.53,285.58,285.88,115.69,225.89,61.83,122.06,284.04,40.9,103.65,83.85,150.82,121.23,120.46,124.43,128.82,257.65,104.82,141.53,156.61
Goyambokka Beach,143.71,351.2,131.33,172.53,285.3,222.05,196.38,189.8,115.0,112.55,283.69,181.35,130.23,149.93,130.9,126.79,108.34,566.08,186.12,46.72,190.37,188.38,348.93,271.85,181.57,137.5,140.05,112.38,181.36,30.12,153.57,81.94,518.91,61.55,130.33,180.11,383.23,204.42,289.17,81.94,191.59,190.92,81.94,140.41,189.47,117.47,0.0,138.65,134.9,60.78,197.62,101.06,12.71,117.11,7.66,300.75,187.03,346.02,547.83,547.7,192.22,79.21,347.32,54.15,62.64,25.69,146.7,130.88,189.1,189.28,387.09,98.23,318.62,569.29,186.9,288.66,86.28,211.5,65.49,122.23,157.01,136.84,118.31,132.21,346.91,142.0,92.69,115.07,229.72,114.56,134.55,372.7,36.89,347.01,294.76,47.53,138.22,342.24,180.47,17.91,209.35,548.81,244.53,548.96,227.02,224.18,558.84,399.21,133.68,192.37,303.95,141.04,191.32,287.24,145.58,198.03,226.06,38.72,286.3,272.21,287.91,132.51,146.19,228.13,312.0,187.1,348.12,349.77,278.86,66.48,83.66,189.39,103.03,355.41,285.87,139.3,70.38,112.29,315.08,125.66,114.12,138.1,192.0,192.19,284.23,189.62,387.22,387.72,11.82,342.25,75.47,78.27,385.5,140.43,188.8,72.22,255.31,31.05,52.21,13.0,44.49,375.08,191.86,134.32,274.01
Gregory Lake,40.45,215.42,7.71,45.54,148.42,139.98,153.95,54.43,23.71,27.39,174.38,127.17,137.96,32.56,63.82,130.43,58.88,432.2,50.93,155.67,134.28,134.0,213.18,133.89,132.68,42.13,21.77,48.96,126.61,153.94,42.39,158.68,381.27,77.53,42.32,49.55,247.97,109.94,152.21,158.68,136.31,136.09,158.98,1.78,134.58,41.13,138.65,0.0,7.06,150.7,117.56,155.82,145.84,21.83,143.4,162.11,133.07,210.43,413.04,412.87,135.18,158.72,211.6,155.54,156.3,128.91,131.01,135.62,53.23,53.5,250.75,116.17,180.44,434.14,125.43,151.72,135.44,72.9,154.15,141.63,138.11,41.38,42.75,43.31,211.28,3.46,92.91,147.13,98.97,70.67,89.81,237.19,151.79,209.79,156.27,155.4,4.0,206.39,134.38,122.1,133.29,416.71,106.87,413.93,143.13,143.12,423.14,262.99,42.65,136.51,182.92,3.33,134.75,148.61,6.98,76.52,87.46,153.88,149.37,133.99,150.99,42.71,128.13,95.29,173.73,53.62,212.39,213.96,141.54,156.03,157.92,134.55,154.4,222.32,147.23,2.54,90.61,128.33,180.43,41.78,34.6,19.09,133.47,134.05,147.32,53.79,251.53,251.93,133.62,206.76,66.7,159.23,249.89,2.52,133.9,121.3,117.59,149.89,153.53,148.22,159.67,246.0,134.13,120.03,143.89
Hakgala Botanic Gardens,46.46,220.74,4.96,52.53,151.04,146.73,147.72,60.46,20.28,22.53,172.44,132.85,140.86,28.26,68.24,133.33,51.92,437.69,57.04,153.85,140.14,139.78,218.51,138.66,138.22,35.73,27.91,41.98,132.31,151.31,37.82,158.57,385.98,73.47,35.48,56.3,250.18,105.88,154.87,158.57,142.16,141.92,158.86,8.33,140.39,43.84,134.9,7.06,0.0,149.7,124.11,156.76,142.54,17.91,139.91,166.13,138.83,215.8,418.38,418.21,141.09,158.46,216.93,154.09,155.26,124.16,134.95,138.61,59.16,59.45,253.28,109.28,183.75,439.42,131.39,154.37,128.83,76.76,153.31,144.02,131.22,46.7,35.7,36.56,216.64,8.79,86.11,149.0,99.61,73.64,82.9,239.46,149.56,214.75,159.86,153.63,3.9,211.71,139.83,118.7,139.84,422.42,111.87,419.24,149.94,149.86,428.32,265.49,35.98,142.38,182.41,7.2,140.63,152.69,12.74,83.51,91.75,151.69,152.01,138.6,153.63,35.97,132.11,101.43,178.26,60.0,217.72,219.27,144.35,155.2,157.91,140.36,155.48,223.96,151.33,9.5,90.06,121.32,182.38,45.74,27.93,24.98,139.42,139.99,149.95,59.73,253.86,254.29,129.41,212.15,61.74,158.92,252.2,9.55,139.71,121.27,120.58,147.42,152.03,144.84,157.61,252.14,140.05,113.0,150.13
Handunugoda Tea Estate,138.65,346.05,145.02,170.59,297.72,190.67,246.35,191.82,130.08,130.78,316.43,144.8,81.43,172.61,115.68,80.67,143.5,554.68,188.32,18.71,153.02,150.71,343.78,273.66,142.96,165.66,143.02,143.61,145.04,36.2,179.13,21.21,515.41,89.7,159.14,179.23,397.77,240.35,301.41,21.21,153.74,153.01,21.2,152.23,151.81,115.83,60.78,150.7,149.7,0.0,168.71,42.49,50.6,132.78,54.93,305.86,149.42,340.69,538.04,537.97,154.95,18.43,342.18,10.78,5.63,84.33,102.75,83.09,191.74,191.8,399.79,152.04,327.32,559.87,152.22,300.94,144.66,220.19,4.99,71.05,209.52,131.49,147.31,161.26,341.63,154.12,140.29,60.98,249.31,97.92,178.28,386.89,26.75,344.82,302.33,17.61,151.91,337.45,140.99,56.65,177.07,535.2,246.52,539.54,195.83,192.13,550.51,412.07,162.38,154.62,330.9,153.82,154.0,292.36,156.74,188.91,232.42,26.17,298.62,274.9,300.22,161.32,103.3,224.31,313.8,187.58,342.96,344.71,290.47,6.54,23.09,151.72,45.09,372.89,290.96,150.3,60.35,167.6,330.76,121.5,138.67,142.31,155.33,155.33,296.61,192.17,401.06,401.39,71.42,336.85,105.77,17.51,399.48,151.61,151.25,34.4,266.31,32.11,11.07,52.64,25.03,361.11,154.91,185.75,264.78
Henerathgoda Botanical Garden,78.37,195.82,121.42,82.24,192.67,25.11,271.28,97.98,125.47,132.08,265.4,32.74,98.48,147.77,70.94,94.65,170.57,391.14,97.35,184.31,31.48,33.27,193.7,147.06,39.19,159.69,96.32,161.56,32.06,194.4,157.41,161.15,361.09,156.31,159.45,86.45,283.9,219.38,195.13,161.15,32.95,33.36,161.48,117.03,32.86,95.9,197.62,117.56,124.11,168.71,0.0,142.65,197.26,126.45,197.95,181.08,33.54,190.51,376.1,376.09,30.73,163.31,192.23,178.73,173.27,203.02,75.39,95.57,99.68,99.35,281.35,222.84,207.79,398.06,23.9,194.88,235.73,129.16,168.82,109.55,254.65,80.59,157.14,160.64,191.47,117.88,199.3,121.53,177.06,84.19,206.43,273.26,187.03,199.91,184.08,183.42,121.55,188.45,42.55,180.36,15.73,370.11,127.35,377.94,29.74,27.76,389.88,292.92,160.09,32.41,259.56,119.45,31.11,169.98,115.64,65.4,129.79,188.07,193.13,150.15,194.37,160.07,73.16,97.57,180.31,92.33,192.94,194.72,184.83,170.11,158.95,32.91,139.48,269.06,168.79,115.03,127.25,237.63,228.18,87.98,145.83,99.38,28.62,29.22,191.68,99.56,285.19,285.1,199.69,186.86,157.19,164.62,284.1,115.48,32.69,135.78,165.0,189.04,177.95,200.25,190.67,198.15,29.67,234.89,115.33
Hikkaduwa Beach,133.05,331.06,151.8,164.24,295.91,161.8,273.19,186.84,139.46,142.1,328.76,114.36,45.86,183.08,105.5,48.19,164.14,533.46,183.68,60.97,121.51,119.06,328.82,265.08,111.03,180.22,142.67,161.81,114.75,78.67,191.09,23.58,499.59,113.11,174.59,173.01,395.59,256.81,299.37,23.58,121.82,121.07,23.8,157.05,120.12,115.87,101.06,155.82,156.76,42.49,142.65,0.0,92.16,142.21,96.08,298.73,117.89,325.66,517.95,517.91,123.39,26.67,327.26,52.54,43.56,122.36,69.44,48.37,187.2,187.17,396.28,184.14,322.23,539.89,122.76,298.95,180.59,218.38,39.06,34.35,239.12,126.54,163.8,176.71,326.62,158.98,168.79,22.28,253.95,89.97,202.43,384.62,69.2,331.85,297.0,59.86,158.02,322.85,108.51,92.93,148.13,512.7,238.95,519.67,166.91,162.74,531.28,408.51,177.53,122.73,338.72,159.14,122.46,285.57,160.7,176.17,228.46,68.66,296.72,266.9,298.27,176.61,70.91,213.55,304.19,181.77,328.02,329.8,288.27,39.11,21.09,120.03,3.34,373.17,284.19,154.75,70.6,200.41,330.51,118.81,153.14,142.91,124.2,124.07,294.79,187.53,398.34,398.54,110.62,321.85,127.6,28.12,396.88,156.06,119.67,39.78,264.36,74.4,53.38,94.45,66.95,340.0,123.59,215.08,248.8
Hiriketiya Beach,147.72,356.39,138.72,177.48,293.45,221.29,209.01,195.66,122.39,120.48,294.83,179.12,124.49,159.1,132.64,121.68,119.1,570.37,191.98,35.02,188.02,185.94,354.12,278.1,178.85,147.44,145.55,122.57,179.18,17.57,163.23,71.79,524.67,69.99,140.32,185.34,391.92,215.79,297.3,71.79,189.13,188.44,71.76,147.58,187.04,121.68,12.71,145.84,142.54,50.6,197.26,92.16,0.0,124.64,5.12,307.69,184.6,351.17,552.43,552.31,189.91,68.92,352.51,42.91,51.78,38.37,142.37,125.41,195.06,195.22,395.5,110.93,326.23,573.98,185.15,296.79,98.75,218.71,55.06,115.78,169.71,140.68,128.2,142.25,352.07,149.24,104.97,107.73,238.84,115.64,146.6,381.32,25.15,352.75,302.11,35.91,145.7,347.49,177.54,23.9,208.31,552.65,250.7,553.63,226.33,223.28,563.74,407.66,143.68,189.94,314.36,148.39,188.98,294.14,152.69,201.81,232.93,26.76,294.43,278.62,296.05,142.51,142.11,233.14,318.38,192.64,353.3,354.98,286.85,55.85,73.68,186.95,94.38,364.52,292.76,146.3,70.9,124.98,323.83,129.53,123.21,143.81,189.82,189.97,292.37,195.57,395.81,396.28,24.51,347.38,84.83,67.86,394.11,147.48,186.39,67.06,263.12,19.25,41.15,2.99,32.16,378.6,189.62,146.97,278.19
Horton Plains National Park,48.43,237.13,14.27,63.95,168.94,150.29,149.99,75.73,2.76,6.36,186.58,130.72,130.17,40.9,63.1,122.71,44.19,453.8,72.15,136.32,138.67,138.0,234.89,155.72,135.43,40.68,32.86,35.13,130.25,133.45,49.02,142.56,403.11,55.79,37.15,69.35,268.0,116.28,172.78,142.56,140.63,140.3,142.85,23.61,138.72,35.64,117.11,21.83,17.91,132.78,126.45,142.21,124.64,0.0,122.04,183.74,136.93,232.12,434.71,434.55,139.82,142.29,233.3,136.81,138.3,107.09,126.92,128.15,74.65,74.9,271.16,99.24,201.62,455.85,130.48,172.27,116.63,94.42,136.53,132.18,128.77,45.94,31.33,38.97,232.98,25.05,75.54,136.12,116.81,64.23,81.03,257.29,131.84,231.61,177.65,136.13,21.11,228.11,136.65,100.81,142.0,438.11,128.7,435.63,153.94,153.31,444.89,283.37,39.15,140.96,198.43,23.98,139.27,170.27,28.81,94.37,109.19,133.99,169.91,155.81,171.53,38.61,124.25,116.3,195.54,74.4,234.09,235.67,162.25,138.42,142.04,138.68,141.15,241.59,168.9,22.94,73.84,112.75,200.14,40.74,19.44,29.75,138.34,138.86,167.85,75.21,271.71,272.14,111.85,228.44,45.0,142.68,270.05,23.9,138.01,105.5,138.48,129.61,134.71,126.95,139.96,266.84,138.86,108.46,164.62
Hummanaya Blow Hole,146.6,354.85,136.19,176.0,290.64,222.15,204.03,193.81,119.85,117.71,290.67,180.54,127.24,155.82,132.43,124.18,115.09,569.23,190.12,39.88,189.49,187.45,352.58,276.11,180.46,143.81,143.82,118.82,180.58,22.67,159.73,76.14,522.91,66.93,136.67,183.75,388.89,211.51,294.51,76.14,190.64,189.96,76.12,145.15,188.54,120.45,7.66,143.4,139.91,54.93,197.95,96.08,5.12,122.04,0.0,305.41,186.1,349.65,551.16,551.04,191.36,73.32,350.98,47.62,56.36,33.26,144.58,128.06,193.16,193.33,392.59,105.88,323.66,572.67,186.38,293.99,93.64,216.3,59.49,118.79,164.67,139.63,124.59,138.58,350.55,146.78,100.21,111.07,235.6,115.68,141.97,378.32,30.0,350.98,299.65,40.74,143.14,345.93,179.23,21.34,209.27,551.69,248.73,552.33,227.16,224.19,562.34,404.74,140.02,191.44,310.55,145.89,190.44,291.88,150.29,200.82,230.67,31.7,291.63,276.56,293.25,138.86,144.23,231.65,316.34,190.92,351.77,353.43,284.12,60.35,77.98,188.46,98.2,361.3,290.5,143.94,71.06,119.89,320.76,128.45,119.95,141.99,191.23,191.39,289.57,193.68,392.82,393.3,19.42,345.87,81.41,72.3,391.12,145.1,187.88,69.47,260.46,24.1,45.79,5.54,37.22,377.76,191.05,141.98,277.06
Hurulu Eco Park,167.51,71.26,169.48,135.54,38.05,182.43,235.46,114.06,185.78,188.65,144.7,212.31,264.45,157.63,193.42,258.06,206.53,281.06,117.6,314.1,212.53,214.21,69.7,34.46,219.26,174.92,163.71,198.18,211.57,314.69,158.68,308.75,221.68,239.53,181.31,126.8,102.9,162.37,36.38,308.75,214.03,214.43,309.08,160.34,213.88,190.3,300.75,162.11,166.13,305.86,181.08,298.73,307.69,183.74,305.41,0.0,214.35,68.48,260.09,259.85,211.81,309.63,68.58,312.53,311.46,289.98,246.04,261.43,114.22,114.14,100.43,258.72,27.18,280.01,204.29,36.69,282.91,89.37,308.42,273.0,248.22,174.58,190.88,180.24,68.88,158.77,239.96,282.78,91.75,210.01,212.8,92.38,311.54,57.84,13.16,313.67,162.67,63.88,222.54,284.08,189.03,270.07,59.8,260.42,180.57,184.64,267.87,112.21,178.62,213.49,116.55,159.77,212.19,13.57,155.18,124.38,74.76,313.49,37.36,32.04,36.95,179.66,243.09,86.61,19.35,118.32,69.16,69.94,36.85,310.22,307.35,213.92,296.33,92.05,14.97,161.48,246.33,264.51,58.68,184.36,190.2,164.93,209.7,210.3,38.15,113.77,104.11,104.03,295.54,66.33,227.56,310.49,103.02,160.34,213.65,272.8,50.82,310.3,310.76,310.14,318.81,123.6,210.75,243.24,75.6
Independence Memorial Hall,92.65,228.59,135.24,105.98,224.62,44.9,286.16,124.9,135.36,141.7,292.18,6.36,72.12,165.15,74.62,70.12,179.52,419.65,123.61,166.52,3.63,1.35,226.5,180.19,6.95,174.33,111.32,171.46,6.73,178.98,175.02,138.6,392.53,155.13,172.79,111.9,317.07,240.35,227.23,138.6,4.56,3.92,138.91,132.96,2.44,102.45,187.03,133.07,138.83,149.42,33.54,117.89,184.6,136.93,186.1,214.35,0.0,223.32,405.36,405.37,5.55,141.11,225.05,159.96,153.35,196.5,48.45,69.53,126.39,126.11,314.69,227.11,240.93,427.3,10.19,226.95,236.69,157.66,148.67,83.63,265.3,92.28,168.26,174.28,224.27,134.19,204.35,95.82,204.64,81.59,217.93,306.38,170.75,233.13,217.0,165.54,137.01,221.39,9.97,170.86,31.75,397.81,159.59,407.33,49.82,45.36,419.58,326.31,174.03,5.34,288.84,135.55,4.6,203.05,132.77,95.46,160.08,171.44,225.13,183.19,226.42,173.78,47.07,129.89,213.83,119.0,225.75,227.52,216.73,149.71,136.23,2.36,114.58,301.58,201.83,130.65,118.41,242.82,260.3,96.22,156.16,114.01,6.43,6.21,223.6,126.37,318.45,318.37,190.99,219.7,159.43,142.52,317.34,131.38,1.83,119.11,196.1,173.64,159.55,187.56,173.05,227.89,5.71,243.95,148.69
