trip_id,order,poi
115,8,Mirissa Beach
115,9,Bentota Beach
115,10,Negombo Beach
116,1,Bentota Beach
116,2,Galle Dutch Fort
116,3,Yala National Park
116,4,Udawalawe National Park
116,5,Ella Rock
116,6,Gregory Lake
116,7,Temple of the Sacred Tooth Relic
116,8,Dambulla Cave Temple
116,9,Trincomalee Beach
116,10,Jaya Sri Maha Bodhi
116,11,Negombo Beach
117,1,Negombo Beach
117,2,Temple of the Sacred Tooth Relic
117,3,Gregory Lake
117,4,Ella Rock
117,5,Mirissa Beach
117,6,Galle Dutch Fort
117,7,Colombo Lotus Tower
118,1,Negombo Beach
118,2,Pinnawala Elephant Orphanage
118,3,Gregory Lake
118,4,Ella Rock
118,5,Mirissa Beach
118,6,Hikkaduwa Beach
118,7,Colombo Lotus Tower
119,1,Negombo Beach
119,2,Mirissa Beach
119,3,Yala National Park
119,4,Ella Rock
120,1,Colombo Lotus Tower
120,2,Negombo Beach
120,3,Wilpattu National Park
120,4,Temple of the Sacred Tooth Relic
120,5,Gregory Lake
120,6,Arugam Bay
120,7,Yala National Park
120,8,Sinharaja Forest Reserve
120,9,Galle Dutch Fort
120,10,Colombo Lotus Tower
121,1,Colombo Lotus Tower
121,2,Sigiriya Lion Rock
121,3,Temple of the Sacred Tooth Relic
121,4,Gregory Lake
121,5,Udawalawe National Park
121,6,Mirissa Beach
121,7,Colombo Lotus Tower
122,1,Negombo Beach
122,2,Wilpattu National Park
122,3,Ancient City of Polonnaruwa
122,4,Sigiriya Lion Rock
122,5,Temple of the Sacred Tooth Relic
122,6,Colombo Lotus Tower
123,1,Colombo Lotus Tower
123,2,Sigiriya Lion Rock
123,3,Temple of the Sacred Tooth Relic
123,4,Yala National Park
123,5,Unawatuna Beach
123,6,Negombo Beach
124,1,Colombo Lotus Tower
124,2,Temple of the Sacred Tooth Relic
124,3,Dambulla Cave Temple
124,4,Sigiriya Lion Rock
124,5,Jaya Sri Maha Bodhi
124,6,Colombo Lotus Tower
125,1,Colombo Lotus Tower
125,2,Ella Rock
125,3,Gregory Lake
125,4,Temple of the Sacred Tooth Relic
125,5,Sigiriya Lion Rock
125,6,Colombo Lotus Tower
126,1,Colombo Lotus Tower
126,2,Temple of the Sacred Tooth Relic
126,3,Gregory Lake
126,4,Bentota Beach
126,5,Colombo Lotus Tower
127,1,Negombo Beach
127,2,Ancient City of Polonnaruwa
127,3,Minneriya National Park
127,4,Temple of the Sacred Tooth Relic
127,5,Gregory Lake
127,6,Ella Rock
127,7,Goyambokka Beach
127,8,Mirissa Beach
127,9,Colombo Lotus Tower
128,1,Negombo Beach
128,2,Temple of the Sacred Tooth Relic
128,3,Ella Rock
128,4,Udawalawe National Park
128,5,Unawatuna Beach
129,1,Negombo Beach
129,2,Knuckles Mountain Range
129,3,Sri Pada / Adam's Peak
129,4,Ella Rock
129,5,Mirissa Beach
129,6,Colombo Lotus Tower
130,1,Colombo Lotus Tower
130,2,Temple of the Sacred Tooth Relic
130,3,Gregory Lake
130,4,Ella Rock
130,5,Yala National Park
130,6,Mirissa Beach
130,7,Galle Dutch Fort
130,8,Colombo Lotus Tower
131,1,Colombo Lotus Tower
132,1,Temple of the Sacred Tooth Relic
132,2,Ella Rock
132,3,Udawalawe National Park
133,1,Negombo Beach
133,2,Temple of the Sacred Tooth Relic
133,3,Knuckles Mountain Range
133,4,Gregory Lake
133,5,Horton Plains National Park
133,6,Sri Pada / Adam's Peak
133,7,Colombo Lotus Tower
134,1,Colombo Lotus Tower
134,2,Mirissa Beach
134,3,Bentota Beach
134,4,Colombo Lotus Tower
135,1,Negombo Beach
135,2,Dambulla Cave Temple
135,3,Ancient City of Polonnaruwa
135,4,Jaya Sri Maha Bodhi
135,5,Temple of the Sacred Tooth Relic
135,6,Gregory Lake
135,7,Ella Rock
135,8,Yala National Park
135,9,Galle Dutch Fort
135,10,Colombo Lotus Tower
136,1,Colombo Lotus Tower
136,2,Temple of the Sacred Tooth Relic
136,3,Gregory Lake
136,4,Ella Rock
136,5,Yala National Park
136,6,Galle Dutch Fort
136,7,Colombo Lotus Tower
137,1,Sigiriya Lion Rock
137,2,Jaya Sri Maha Bodhi
137,3,Temple of the Sacred Tooth Relic
137,4,Gregory Lake
137,5,Sinharaja Forest Reserve
137,6,Colombo Lotus Tower
138,1,Negombo Beach
138,2,Sigiriya Lion Rock
138,3,Sri Pada / Adam's Peak
138,4,Gregory Lake
138,5,Ella Rock
138,6,Mirissa Beach
139,1,Wilpattu National Park
139,2,Jaya Sri Maha Bodhi
139,3,Temple of the Sacred Tooth Relic
139,4,Ella Rock
139,5,Colombo Lotus Tower
140,1,Colombo Lotus Tower
140,2,Dambulla Cave Temple
140,3,Temple of the Sacred Tooth Relic
140,4,Colombo Lotus Tower
141,1,Colombo Lotus Tower
141,2,Dambulla Cave Temple
141,3,Jaya Sri Maha Bodhi
141,4,Sigiriya Lion Rock
141,5,Temple of the Sacred Tooth Relic
141,6,Gregory Lake
141,7,Yala National Park
141,8,Colombo Lotus Tower
142,1,Colombo Lotus Tower
143,1,Colombo Lotus Tower
143,2,Negombo Beach
143,3,Temple of the Sacred Tooth Relic
143,4,Gregory Lake
143,5,Ella Rock
143,6,Bentota Beach
144,1,Negombo Beach
144,2,Jaya Sri Maha Bodhi
144,3,Jaffna Fort
144,4,Trincomalee Beach
144,5,Minneriya National Park
144,6,Dambulla Cave Temple
144,7,Gregory Lake
144,8,Yala National Park
144,9,Galle Dutch Fort
145,1,Negombo Beach
145,2,Jaya Sri Maha Bodhi
145,3,Sigiriya Lion Rock
145,4,Temple of the Sacred Tooth Relic
145,5,Gregory Lake
145,6,Ella Rock
145,7,Udawalawe National Park
145,8,Colombo Lotus Tower
146,1,Negombo Beach
146,2,Jaya Sri Maha Bodhi
146,3,Ancient City of Polonnaruwa
146,4,Dambulla Cave Temple
146,5,Sigiriya Lion Rock
146,6,Udawalawe National Park
146,7,Mirissa Beach
146,8,Galle Dutch Fort
146,9,Colombo Lotus Tower
147,1,Bentota Beach
147,2,Colombo Lotus Tower
148,1,Colombo Lotus Tower
