poi_id,name,category,satisfaction_score,cost,duration_time_min,latitude,longitude
137,Sinharaja Forest Reserve,Forest Reserve,2.82,1000,240,6.4010545,80.5026392
138,Sithulpawwa Rock Temple,Religious Site,0.58,0,120,6.3869,81.4497
139,Somawathiya Chaitya,Religious Site,0.54,0,120,8.1208884,81.1689112
140,Sri Pada / Adam's Peak,Viewpoint / Hiking,2.96,0,120,6.8261677,80.5232448
141,St Benedict's Monastery - Adisham,Religious Site,1.41,500,120,6.7721724,80.9309262
142,St Clair's Falls,Waterfall,1.64,0,90,6.9409114,80.6491756
143,St Lucia's Cathedral,Religious Site,1.2,0,120,6.9476771,79.8634616
144,St. Mary's Church,Religious Site,4.4,0,45,6.9456057,79.8595145
145,Statue of Parakramabahu I,Heritage Site,0.64,1000,120,7.9333,81.0003
146,Temple of the Sacred Tooth Relic,Religious Site,4.07,2000,120,7.2936148,80.6413453
147,Trincomalee Beach,Beach,0.44,0,180,8.6111739,81.2190923
148,Trincomalee War Cemetery,Memorial / Cemetery,1.64,0,120,8.6157265,81.2123229
149,Turtle Conservation Project Turtle Watch,Wildlife Conservation,2.42,1500,120,6.0463,80.8524
150,Twin Baths (Kuttam Pokuna),Heritage Site,4.4,0,60,8.3085,80.39
151,Udawalawe National Park,National Park / Wildlife Reserve,3.87,5000,240,6.5121582,80.887626
152,Unawatuna Beach,Beach,0.86,0,180,6.0081669,80.2443683
153,Uppuveli Beach,Beach,0.63,0,180,8.5987375,81.2226276
154,Victoria Park of Nuwara Eliya,Garden / Park,3.17,300,240,6.9658,80.7672
155,Viharamahadevi Park,Garden / Park,3.23,0,240,6.9148992,79.8613636
156,Visit Kanneliya Rain Forest,Forest Reserve,0.46,1000,240,6.2474622,80.3476291
157,Wasgamuwa National Park,National Park / Wildlife Reserve,0.42,5000,240,7.7434134,80.9156975
158,Weherahena Buddhist Temple,Religious Site,0.54,300,120,5.9529,80.5755
159,Weligama Beach,Beach,1.23,0,180,5.9688378,80.4251596
160,Wewurukannala Vihara,Religious Site,0.83,300,120,5.9458,80.7183
161,Whale Watching in Mirissa,Activity / Experience,0.67,8000,120,5.9033478,80.4949752
162,Wilpattu National Park,National Park / Wildlife Reserve,3.22,5000,240,8.4496505,80.0167297
163,Wolvendaal Church,Religious Site,0.76,0,120,6.9420432,79.8590271
164,Yala National Park,National Park / Wildlife Reserve,0.51,5000,240,6.5709721,81.5072819
165,Yapahuwa Rock Fortress,Heritage Site,3.53,1000,120,7.8168,80.3107
