,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Lipton’s Seat,168.81,536.31,78.79,188.98,364.76,386.96,255.39,201.26,70.65,57.62,362.81,347.25,337.67,71.72,201.96,322.03,36.13,1001.57,194.53,315.11,364.29,362.85,531.66,357.26,357.24,41.23,131.81,15.77,346.24,300.69,75.81,343.67,883.76,127.37,26.08,196.09,570.17,200.34,373.11,343.67,368.49,367.8,344.21,94.29,364.39,142.5,253.52,91.61,76.5,315.66,336.73,351.0,274.71,67.14,266.98,409.03,360.56,526.18,959.04,958.63,366.75,341.96,528.34,319.86,326.83,218.76,335.27,333.9,197.96,198.69,579.94,159.17,439.93,1003.44,346.69,371.98,204.28,221.01,324.92,339.21,209.19,164.96,0.0,30.41,527.89,94.59,111.04,344.51,240.28,200.91,106.52,548.01,301.71,520.44,391.99,315.19,84.26,517.03,359.74,224.49,370.24,970.99,302.49,960.54,394.39,393.54,978.79,605.59,33.28,369.21,399.45,90.9,365.57,381.15,102.49,255.34,255.09,306.58,366.96,355.86,370.37,30.81,329.83,288.6,439.11,202.16,530.01,533.16,352.37,328.89,343.46,364.31,349.76,509.04,378.36,96.69,199.84,183.69,424.24,154.39,26.55,125.01,363.56,364.69,362.57,199.18,579.21,580.41,236.53,518.61,93.43,342.24,575.46,96.96,362.87,267.73,304.39,294.45,315.04,278.53,320.34,610.33,364.69,167.19,393.13
Little Adam's Peak View Point,177.13,517.44,84.34,186.02,338.7,392.72,239.74,190.89,88.37,77.85,332.66,360.41,360.92,49.52,217.59,345.09,56.89,982.14,184.82,345.47,376.67,375.62,512.85,337.61,371.25,11.81,137.87,42.66,359.31,331.05,47.76,372.84,861.26,157.78,4.59,190.33,542.12,171.73,347.06,372.84,380.96,380.36,373.37,94.46,377.04,159.66,283.31,92.81,78.34,345.56,344.23,378.66,304.82,83.51,296.96,386.23,373.46,507.56,939.06,938.61,378.88,371.27,509.57,350.06,356.81,247.09,355.44,356.85,187.22,188.01,552.43,172.78,414.86,983.08,358.35,345.92,221.7,201.45,354.73,363.79,203.38,175.84,30.41,0.0,509.21,93.43,128.55,370.31,212.27,221.01,100.09,520.14,332.12,500.08,368.08,345.51,84.39,498.21,374.23,254.74,377.91,952.82,284.59,940.37,399.51,399.43,958.03,577.95,3.49,381.54,369.11,89.79,377.83,358.82,99.94,251.51,235.76,336.99,340.95,335.66,344.31,1.46,349.76,276.47,417.71,193.63,511.22,514.26,326.89,358.71,372.47,376.95,377.19,480.3,356.12,98.23,227.91,192.9,396.36,169.01,50.55,131.4,375.45,376.63,336.56,188.4,551.34,552.6,265.8,500.14,123.77,371.61,547.54,97.65,375.54,296.14,280.07,324.84,345.26,308.55,350.74,595.61,376.71,166.78,380.38
Lovamahapaya Brazen Palace,439.37,4.84,469.26,374.12,159.82,275.35,330.75,337.69,502.56,511.44,230.87,336.29,429.79,459.69,338.93,421.9,394.31,241.25,345.54,529.05,332.37,335.59,2.43,120.44,345.66,498.6,443.29,543.64,335.28,534.57,466.11,510.88,189.58,431.53,510.73,357.47,140.27,250.95,156.57,510.88,333.85,334.73,511.4,448.97,334.64,494.16,520.37,452.74,464.23,512.44,287.2,489.93,528.11,499.24,525.83,75.14,336.4,1.05,220.1,219.92,330.5,513.01,1.05,524.55,520.53,509.81,397.51,425.22,339.64,339.17,130.57,346.91,86.96,243.14,322.86,157.16,372.07,307.74,515.06,444.94,341.91,454.78,527.89,509.21,0.0,446.36,324.52,461.67,237.61,365.56,299.88,132.53,527.69,19.27,89.35,528.15,456.09,5.72,350.69,494.1,291.09,225.87,157.83,221.08,270.08,277.14,231.34,139.16,505.86,332.75,196.76,449.23,331.44,115.38,437.96,229.08,191.41,530.26,158.64,122.52,157.71,507.86,393.58,178.41,54.08,342.62,1.61,3.55,158.56,517.54,508.23,334.73,485.7,147.03,116.61,450.09,427.8,355.13,128.09,478.2,521.27,447.6,327.71,328.44,160.14,338.49,137.98,137.19,515.13,5.21,416.94,514.62,137.9,448.07,334.64,461.03,174.22,527.31,522.31,532.14,537.17,61.91,329.2,334.2,116.76
Lover's Leap Falls,89.04,455.19,23.12,94.44,310.63,299.96,328.8,110.91,57.88,65.19,367.65,275.04,301.26,66.49,141.19,285.13,129.73,919.89,103.54,341.01,289.95,289.48,450.41,280.09,287.06,89.96,49.2,108.43,273.79,337.26,87.64,347.16,810.19,173.16,91.63,101.94,523.95,231.41,318.75,347.16,294.3,293.87,347.83,4.16,290.68,94.2,304.29,7.41,18.84,330.26,252.6,340.67,319.8,53.68,314.53,340.22,287.55,444.56,878.7,878.34,291.79,347.29,447.02,340.69,342.26,282.99,285.49,296.16,108.21,108.84,529.91,252.79,379.33,923.87,270.79,317.7,294.9,148.97,337.63,309.47,296.79,92.19,94.59,93.43,446.36,0.0,203.27,321.56,204.9,157.16,193.44,500.83,332.68,442.86,327.58,340.44,10.52,435.86,290.85,268.91,286.29,886.93,222.34,880.59,306.49,306.73,900.21,556.14,91.76,294.69,385.16,3.71,290.91,311.31,8.55,160.78,180.34,337.16,312.66,280.22,316.11,92.08,279.26,198.64,365.36,109.76,448.71,452.06,295.89,341.66,345.51,290.61,337.56,469.01,308.36,9.26,201.45,278.25,379.22,94.63,78.66,44.08,288.06,289.33,308.27,109.41,531.56,532.41,293.34,436.71,149.51,348.41,528.06,6.69,289.24,267.06,244.59,328.61,336.39,324.88,349.56,521.64,289.52,258.96,302.96
Lunugamvehera National Park,263.81,328.75,184.09,296.27,324.3,335.79,115.72,312.06,162.17,148.41,212.45,296.98,264.68,177.94,195.57,255.01,52.45,565.42,305.19,200.19,310.02,308.34,326.4,326.25,302.18,139.61,232.29,95.79,296.48,181.49,174.19,237.32,503.56,85.26,126.79,305.16,336.09,125.48,330.12,237.32,312.75,312.07,237.55,202.24,309.66,221.89,139.03,199.09,184.52,210.44,298.95,253.18,157.45,161.87,150.31,261.77,306.52,323.67,543.51,543.28,312.17,234.72,324.73,207.63,216.66,103.98,272.88,263.22,308.83,309.56,342.34,25.91,275.26,565.92,299.35,329.3,47.59,329.81,217.8,260.7,76.73,255.79,111.04,128.55,324.52,203.27,0.0,258.9,233.42,185.27,46.22,325.3,187.32,320.03,252.16,200.82,192.75,318.96,302.9,128.95,321.66,550.3,288.7,544.18,341.73,340.15,553.15,355.05,131.96,313.49,238.85,199.69,311.13,340.94,211.56,253.72,254.85,190.68,325.89,324.94,328.2,129.86,269.91,279.69,278.05,312.45,325.57,327.14,316.69,220.23,238.38,309.57,253.86,303.21,339.06,203.61,154.23,42.02,262.68,238.54,125.01,225.58,310.43,311.08,322.86,310.05,341.14,341.86,122.63,319.88,69.34,234.19,339.15,204.47,308.55,194.08,285.0,179.91,204.18,158.52,200.44,367.23,310.94,50.51,352.89
Madu River Safari by Buddhi,256.93,468.31,308.68,321.36,423.19,209.99,411.81,370.22,285.94,293.55,482.1,73.98,35.55,378.04,73.05,40.4,245.08,768.96,363.86,63.74,79.54,77.58,464.99,373.16,71.14,376.63,282.21,342.36,74.31,76.96,396.54,67.28,720.28,173.73,365.85,339.92,571.81,378.33,428.22,67.28,79.75,79.15,36.09,317.51,78.42,227.44,172.6,315.28,319.29,48.78,182.3,33.42,161.59,291.69,166.6,424.17,76.66,460.22,746.1,746.06,81.04,38.2,462.66,57.3,50.59,200.83,37.9,39.51,371.4,371.23,572.04,285.08,460.46,779.02,80.82,427.62,284.04,439.86,46.8,18.29,363.9,244.11,344.51,370.31,461.67,321.56,258.9,0.0,365.08,62.25,304.41,555.36,69.46,470.49,422.65,62.86,320.89,456.23,69.08,156.36,189.53,737.43,334.83,748.77,217.62,211.26,766.41,590.29,371.66,80.48,493.59,322.39,80.3,404.74,324.21,238.6,321.45,69.34,424.33,376.19,426.63,369.9,39.22,295.19,430.92,358.76,463.8,466.47,411.57,47.16,63.51,78.35,28.41,539.85,402.69,312.34,56.22,309.85,475.8,230.57,319.99,283.69,81.73,81.62,421.53,372.0,575.6,575.82,185.1,454.54,193.11,39.38,573.5,315.04,78.07,36.24,376.12,73.16,57.63,165.45,68.8,479.1,81.22,327.99,344.92
Maduru Oya National Park,267.36,242.11,223.5,214.11,92.2,285.65,217.41,170.87,255.96,256.39,132.77,300.33,346.44,170.98,230.46,335.39,187.95,558.52,173.83,379.62,306.51,307.63,239.4,124.47,310.53,200.49,239.38,254.53,299.25,373.94,164.7,386.46,464.32,253.32,215.7,199.35,230.94,107.91,97.88,386.46,309.44,309.57,386.91,209.04,307.85,295.91,344.58,212.08,213.45,373.97,265.59,380.93,358.26,250.31,353.4,137.62,306.96,236.78,526.63,526.25,306.69,386.52,237.45,380.42,382.31,321.31,328.6,342.44,167.7,168.28,238.17,257.65,147.45,555.92,292.29,97.06,295.22,103.37,379.33,354.68,234.81,278.55,240.28,212.27,237.61,204.9,233.42,365.08,0.0,248.37,185.29,215.5,372.45,224.02,120.63,379.37,208.86,229.8,314.55,322.51,285.85,542.71,107.37,526.9,286.64,290.21,537.18,255.99,208.86,309.17,129.38,205.18,306.63,122.44,200.34,168.18,79.79,375.73,93.81,120.14,96.0,211.35,324.0,137.08,164.8,183.51,238.44,240.0,86.44,382.17,385.28,307.86,378.48,188.55,121.1,213.6,284.24,263.43,128.86,291.02,247.84,238.24,303.52,304.5,90.91,167.72,237.36,238.22,333.5,232.62,231.39,387.28,234.71,210.77,307.1,330.38,63.48,368.62,377.28,361.27,384.85,313.25,304.94,229.07,186.87
Maha Saman Dewalaya,92.4,372.21,147.54,160.01,308.93,163.72,319.2,207.99,132.64,143.89,367.27,60.21,53.84,218.21,26.79,47.81,152.9,687.09,201.04,87.66,67.38,66.29,368.79,265.47,62.54,224.7,115.54,204.11,60.0,92.58,238.16,79.02,626.24,110.7,216.99,178.84,458.56,268.89,314.15,79.02,68.74,68.33,79.29,153.24,67.04,63.86,171.84,151.44,157.8,78.34,126.29,71.98,173.46,137.64,173.52,315.01,65.27,364.15,661.46,661.33,68.64,79.8,366.4,84.86,82.67,178.24,50.22,51.99,208.59,208.54,459.9,218.8,349.26,694.11,62.51,313.5,232.72,275.19,79.84,57.02,281.3,78.39,200.91,221.01,365.56,157.16,185.27,62.25,248.37,0.0,212.85,442.11,87.85,370.5,311.43,87.11,157.97,359.3,62.8,145.41,145.98,658.95,225.38,663.58,170.86,167.34,679.71,478.27,221.51,69.2,377.01,158.44,68.02,295.02,158.89,136.49,207.93,89.04,310.14,267.75,312.48,220.29,48.14,190.03,325.17,197.46,367.58,370.19,297.48,81.2,77.87,66.99,70.36,424.85,292.92,147.92,67.12,242.72,360.84,63.96,174.43,117.3,67.92,68.22,307.25,209.34,462.78,463.12,173.72,358.41,117.02,80.54,460.57,150.51,66.46,51.0,261.6,88.43,83.74,177.9,92.25,397.49,68.08,247.67,250.62
Maligawila Buddha Statue,274.46,303.77,182.4,285.9,277.51,344.24,78.35,287.16,176.94,163.48,166.96,317.55,304.26,141.77,215.56,293.7,60.47,538.51,281.72,260.02,329.54,328.52,301.55,292.12,324.42,105.43,236.23,100.26,316.84,243.12,127.99,292.06,472.27,134.59,101.83,289.35,296.88,80.3,283.17,292.06,332.48,331.98,292.35,194.29,329.61,248.25,201.83,192.45,177.64,267.42,309.65,303.65,219.9,173.64,212.95,232.15,326.9,299.12,515.83,515.57,331.27,289.96,299.96,266.4,274.26,167.47,306.06,302.06,283.29,284.1,304.06,54.68,241.97,537.61,317.25,282.36,82.42,285.04,274.6,303.23,52.72,271.31,106.52,100.09,299.88,193.44,46.22,304.41,185.29,212.85,0.0,286.54,247.89,293.09,221.09,260.5,184.16,294.2,326.07,189.54,333.17,525.25,258.41,516.23,349.17,348.9,524.29,316.41,102.02,332.99,195.17,189.77,330.44,301.5,200.04,245.67,223.02,251.3,279.1,289.81,281.3,101.46,302.48,258.94,250.16,291.21,300.76,302.17,271.33,277.19,292.68,329.54,303.62,263.04,299.79,197.83,199.35,56.81,224.87,260.81,132.36,229.56,329.06,329.83,276.21,284.4,302.23,303.02,185.79,295.56,112.24,289.69,300.2,197.42,328.53,243.97,242.99,240.93,262.92,221.22,261.15,347.72,329.83,35.24,330.44
Marble Beach,539.19,131.11,522.17,472.41,133.78,412.06,284.28,423.81,556.59,559.29,150.0,456.19,529.94,477.86,418.95,519.88,403.35,289.55,430.59,589.23,456.99,459.42,131.4,189.3,466.68,508.35,523.16,562.39,455.08,586.12,472.54,588.45,206.14,467.1,523.56,453.71,11.98,212.91,128.32,588.45,459.28,459.87,588.93,504.73,458.97,581.83,559.05,508.26,513.13,580.33,409.89,576.93,571.98,551.34,567.48,100.78,459.57,132.97,264.65,264.23,455.97,589.25,131.57,588.58,588.78,536.75,504.13,525.48,423.04,423.11,18.33,340.84,71.42,281.64,444.4,129.0,368.55,357.75,584.96,541.72,311.67,553.48,548.01,520.14,132.53,500.83,325.3,555.36,215.5,442.11,286.54,0.0,583.41,113.32,97.83,588.79,507.09,130.3,471.56,536.13,422.12,287.48,222.6,263.61,409.11,415.31,266.5,29.88,516.73,458.5,108.63,502.05,456.5,155.01,494.46,321.57,234.24,586.56,132.45,184.78,130.06,519.21,499.63,265.92,106.51,434.87,131.54,130.73,144.87,587.75,586.71,459.03,573.69,28.47,156.85,508.39,489.82,342.44,63.02,571.95,554.21,524.27,452.79,453.69,135.45,422.31,15.89,16.56,548.54,134.0,445.97,590.31,13.97,505.65,458.61,533.04,181.06,580.3,585.66,575.19,595.27,189.32,454.37,314.4,248.79
Matara Paravi Duwa Temple,314.64,534.25,311.27,381.54,450.3,315.15,345.56,424.09,277.11,275.7,464.49,132.56,84.69,363.02,102.05,83.32,201.15,851.64,416.34,14.82,139.43,137.66,530.83,420.84,131.66,342.58,316.86,291.45,132.69,14.21,374.4,38.02,787.91,122.06,327.75,399.39,599.53,347.49,455.97,38.02,140.16,139.58,37.96,328.82,138.54,261.21,55.34,325.26,320.49,40.12,280.55,55.36,37.72,282.51,45.0,467.31,136.6,526.29,825.71,825.55,140.97,66.78,528.42,26.85,40.5,93.26,100.64,85.76,423.34,423.58,603.79,200.11,497.32,858.27,138.02,455.23,184.5,479.44,46.08,76.9,287.91,299.19,301.71,332.12,527.69,332.68,187.32,69.46,372.45,87.85,247.89,583.41,0.0,530.58,460.4,16.14,326.38,521.08,130.32,58.44,295.08,823.67,379.73,827.73,322.83,317.72,843.57,622.17,334.91,140.84,490.41,331.39,140.22,446.94,339.3,299.43,355.62,3.44,451.71,422.15,454.14,332.49,100.78,349.78,481.37,416.29,529.61,532.18,439.89,46.89,39.67,138.47,57.38,560.13,444.84,325.37,53.28,222.21,497.93,276.06,287.06,314.16,141.1,141.16,448.65,424.37,604.95,605.55,72.69,520.56,146.1,65.04,602.49,328.07,138.06,41.38,403.83,8.85,24.53,40.08,13.29,562.2,140.84,253.05,414.25
Mihintale,443.49,18.65,465.94,376.56,141.16,290.82,319.95,336.88,499.99,508.03,215.18,348.93,439.54,450.75,344.11,431.21,388.68,245.66,344.76,532.68,345.92,349.02,18.39,114.38,358.62,489.11,444.0,536.21,347.9,536.85,455.55,517.26,187.56,430.41,501.9,359.1,121.19,240.22,137.32,517.26,347.58,348.39,517.77,445.76,348.15,497.06,520.51,449.55,460.18,517.23,299.87,497.78,529.12,496.31,526.47,63.1,349.69,19.66,223.49,223.27,344.2,519.2,18.34,528.78,525.42,508.05,408.18,434.96,338.4,338.01,111.77,341.64,70.13,245.92,335.7,137.97,367.37,299.42,520.19,454.2,333.29,458.96,520.44,500.08,19.27,442.86,320.03,470.49,224.02,370.5,293.09,113.32,530.58,0.0,76.63,531.84,452.21,17.35,363.66,494.56,305.52,232.33,154.38,224.15,285.99,292.95,233.37,120.75,496.67,346.53,179.92,445.52,345.08,102.05,434.64,234.48,185.81,533.28,139.86,115.2,138.65,498.77,404.12,180.96,43.18,343.09,18.39,17.9,141.45,522.75,514.75,348.23,493.69,127.9,103.6,447.28,430.92,349.0,110.8,481.91,515.68,447.84,341.31,342.07,141.68,337.29,119.05,118.3,514.42,20.93,414.65,520.71,118.92,445.14,348.07,466.12,161.45,529.77,526.42,533.05,540.51,79.83,342.84,326.9,127.05
Minneriya National Park,352.97,91.82,350.29,284.89,37.34,280.73,243.51,237.39,385.31,390.64,143.63,321.92,396.27,320.38,287.25,386.4,297.35,318.48,244.69,464.82,323.07,325.41,90.19,56.28,332.42,356.53,341.81,407.51,320.79,464.6,321.24,459.13,251.62,349.98,370.61,266.06,109.67,163.9,35.01,459.13,325.44,325.98,459.63,331.14,325.0,399.66,442.14,334.86,342.56,453.49,276.12,445.5,453.17,380.68,449.47,14.36,325.5,88.93,295.33,295.06,322.15,460.26,89.0,462.96,461.91,424.6,369.84,391.78,237.26,237.19,108.73,272.0,27.53,316.77,310.29,35.43,298.67,178.76,457.59,408.51,258.49,367.82,391.99,368.08,89.35,327.58,252.16,422.65,120.63,311.43,221.09,97.83,460.4,76.63,0.0,464.22,335.44,83.93,337.26,417.54,289.41,307.17,88.32,295.58,278.42,284.25,303.29,121.95,364.61,324.69,113.64,329.49,322.63,22.21,320.19,187.16,104.94,463.4,36.32,51.12,35.77,366.9,365.37,131.4,35.43,247.46,89.62,90.4,36.11,460.32,457.17,325.06,442.06,93.58,23.62,333.92,363.6,277.71,53.25,387.92,392.08,343.95,318.94,319.86,37.48,236.38,111.77,111.85,433.69,86.66,331.23,461.47,110.39,331.37,324.61,404.58,61.73,458.21,460.22,456.74,471.6,149.2,320.52,253.85,125.55
Mirissa Beach,316.39,534.75,319.65,384.13,455.35,308.93,359.52,427.99,286.14,285.77,474.47,128.58,78.95,374.23,101.4,78.07,211.98,850.29,420.3,1.67,135.3,133.47,531.33,423.26,127.36,355.65,321.47,305.68,128.74,29.37,386.55,56.17,788.67,131.88,341.08,402.3,605.01,358.29,460.98,56.17,135.94,135.35,56.03,336.47,134.36,264.54,71.3,333.0,329.21,26.41,275.13,47.89,53.86,291.71,61.11,470.5,132.43,526.74,824.79,824.65,136.83,51.57,528.93,11.19,25.05,108.9,95.62,80.2,427.46,427.65,608.81,214.89,501.4,857.44,134.3,460.25,200.19,485.57,31.27,70.79,302.42,300.92,315.19,345.51,528.15,340.44,200.82,62.86,379.37,87.11,260.5,588.79,16.14,531.84,464.22,0.0,334.67,521.69,125.89,71.98,288.66,821.75,382.26,826.92,316.65,311.31,843.03,627.2,348.19,136.63,499.01,339.36,136.08,450.17,346.67,299.3,359.3,14.07,456.75,424.78,459.17,345.81,95.95,350.9,483.7,419.64,530.12,532.69,444.75,31.66,59.46,134.29,50.05,566.35,448.06,332.76,53.98,237.28,503.74,278.4,299.14,319.24,137.06,137.09,453.69,428.44,610.25,610.81,88.48,521.01,156.14,49.71,607.82,335.51,133.9,38.14,408.58,24.99,9.81,56.17,11.38,560.34,136.76,267.31,413.83
Moon Plains,95.19,464.87,15.11,104.7,317.29,308.44,321.32,121.2,49.97,55.93,367.84,280.93,302.16,61.86,144.43,286.03,119.27,929.7,113.87,335.19,296.23,295.59,460.11,289.24,292.67,81.71,55.16,97.97,279.73,330.45,82.82,343.63,819.28,164.72,82.35,112.44,530.1,228.0,325.48,343.63,300.58,300.09,344.25,10.2,296.85,94.33,296.19,8.57,8.36,325.52,260.46,338.61,312.21,45.24,306.73,348.58,293.59,454.26,888.41,888.04,298.18,343.54,456.73,335.36,337.48,273.84,288.11,297.24,118.41,119.06,536.49,242.29,386.85,933.51,277.29,324.41,284.4,157.11,333.09,309.58,287.64,96.86,84.26,84.39,456.09,10.52,192.75,320.89,208.86,157.97,184.16,507.09,326.38,452.21,335.44,334.67,0.0,445.52,296.27,261.19,294.17,896.94,231.73,890.27,315.15,315.15,909.77,562.67,82.93,301.01,387.56,7.05,297.26,319.74,18.94,171.09,188.98,330.9,319.35,289.22,322.82,83.1,281.98,208.97,374.25,120.24,458.4,461.74,302.79,337.14,342.11,296.79,335.7,474.43,316.8,13.99,197.21,267.88,385.05,96.79,68.19,49.31,294.51,295.76,314.96,119.64,537.9,538.78,284.74,446.44,140.16,344.57,534.36,13.26,295.39,263.57,251.7,321.99,330.99,317.21,343.46,531.94,295.93,249.24,313.35
Moonstone or Sandakada pahana,429.86,9.85,458.76,364.33,152.49,271.68,325.09,327.43,492.17,500.96,225.84,331.78,424.56,448.71,332.69,416.56,386.67,246.73,335.27,522.58,328.12,331.32,7.45,112.67,341.25,487.59,433.29,532.78,330.76,527.88,455.04,504.93,194.18,424.35,499.78,347.53,138.38,245.29,149.32,504.93,329.67,330.52,505.44,438.49,330.38,484.48,513.36,442.26,453.66,506.17,282.68,484.28,521.24,488.81,518.9,69.69,332.08,5.08,225.47,225.28,326.31,507.03,5.78,518.19,514.29,502.56,392.49,419.99,329.34,328.86,129.09,341.29,82.41,248.45,318.4,149.88,366.48,296.76,508.86,439.59,336.21,445.29,517.03,498.21,5.72,435.86,318.96,456.23,229.8,359.3,294.2,130.3,521.08,17.35,83.93,521.69,445.52,0.0,346.29,487.12,287.1,231.49,150.28,226.42,266.55,273.6,236.56,138.1,494.87,328.57,192.05,438.69,327.23,107.61,427.46,222.81,183.73,523.69,151.32,114.7,150.42,496.89,388.54,171.6,48.59,332.53,6.61,8.26,151.03,511.37,502.31,330.46,480.08,143.89,108.83,439.63,421.23,349.47,123.63,468.64,510.58,437.53,323.48,324.23,152.77,328.18,136.33,135.59,508.02,3.71,409.62,508.6,136.18,437.61,330.36,454.81,166.4,520.65,515.94,525.25,530.65,66.53,324.99,328.49,111.33
Mount Lavinia Beach,202.01,357.18,291.43,236.34,347.65,82.26,429.68,278.79,289.09,302.36,445.1,15.36,50.13,357.34,58.93,48.85,267.6,644.42,275.55,126.69,20.04,16.36,354.03,282.39,5.04,375.0,241.65,365.76,16.47,137.04,378.51,103.65,603.57,226.89,370.86,250.07,487.65,364.21,351.69,103.65,20.05,18.93,103.89,288.0,17.8,217.59,270.71,287.96,299.64,112.79,63.83,86.81,266.31,292.82,268.84,333.81,14.96,349.26,623.0,623.01,22.7,105.7,351.85,121.29,115.82,286.4,58.68,48.12,281.79,281.23,484.43,336.56,373.47,655.9,27.97,351.25,349.47,349.89,112.05,59.34,396.48,199.56,359.74,374.23,350.69,290.85,302.9,69.08,314.55,62.8,326.07,471.56,130.32,363.66,337.26,125.89,296.27,346.29,0.0,246.97,62.57,611.64,250.54,625.93,89.59,82.84,644.31,501.94,373.89,21.4,441.74,293.59,21.38,316.56,288.41,153.19,249.7,130.82,348.45,286.77,350.43,373.22,56.97,206.18,333.74,266.06,352.89,355.56,335.79,112.84,101.73,17.68,84.15,463.56,314.7,282.9,90.24,360.42,401.28,205.61,333.51,247.07,24.54,24.12,346.11,281.83,489.88,489.79,277.33,343.8,234.74,106.83,488.18,284.66,17.34,89.16,304.21,132.78,121.02,270.72,131.92,356.76,23.34,363.83,236.82
